y,x,pred,err,merr,k,ctx_id,code_len
0,198,99,0,0,0,361,1
0,199,99,0,0,0,361,1
0,200,99,0,0,0,361,1
0,201,99,0,0,0,361,1
0,202,99,0,0,0,361,1
0,203,99,0,0,0,361,1
0,204,99,0,0,0,361,1
0,205,99,0,0,0,361,1
0,206,99,0,0,0,361,1
0,207,99,0,0,0,361,1
0,208,99,0,0,0,361,1
0,209,99,0,0,0,361,1
0,210,99,0,0,0,361,1
0,211,99,0,0,0,361,1
0,212,99,0,0,0,361,1
0,213,99,0,0,0,361,1
0,214,99,0,0,0,361,1
0,215,99,0,0,0,361,1
0,216,99,0,0,0,361,1
0,217,99,0,0,0,361,1
0,218,99,0,0,0,361,1
0,219,99,0,0,0,361,1
0,220,99,0,0,0,361,1
0,221,99,0,0,0,361,1
0,222,99,0,0,0,361,1
0,223,99,0,0,0,361,1
0,224,99,0,0,0,361,1
0,225,99,0,0,0,361,1
0,226,99,0,0,0,361,1
0,227,99,0,0,0,361,1
0,228,99,0,0,0,361,1
0,229,99,0,0,0,361,1
0,230,99,0,0,0,361,1
0,231,99,0,0,0,361,1
0,232,99,0,0,0,361,1
0,233,99,0,0,0,361,1
0,234,99,0,0,0,361,1
0,235,99,0,0,0,361,1
0,236,99,0,0,0,361,1
0,237,99,0,0,0,361,1
0,238,99,0,0,0,361,1
0,239,99,0,0,0,361,1
0,240,99,0,0,0,361,1
0,241,99,0,0,0,361,1
0,242,99,0,0,0,361,1
0,243,99,0,0,0,361,1
0,244,99,0,0,0,361,1
0,245,99,0,0,0,361,1
0,246,99,0,0,0,361,1
0,247,99,0,0,0,361,1
0,248,99,0,0,0,361,1
0,249,99,0,0,0,361,1
0,250,99,0,0,0,361,1
0,251,99,0,0,0,361,1
0,252,99,0,0,0,361,1
0,253,99,0,0,0,361,1
0,254,99,0,0,0,361,1
0,255,99,0,0,0,361,1
